
Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
17,Steve McNair*,TEN,27,QB,16,15,12-3-0,248,396,62.6,2847,15,3.8,13,3.3,56,7.2,6.5,11.5,177.9,83.2,24,141,6.44,5.76,5.7,3,3
18,Brad Johnson,WAS,32,QB,12,11,7-4-0,228,365,62.5,2505,11,3.0,15,4.1,77,6.9,5.6,11.0,208.8,75.7,20,150,6.12,4.94,5.2,1,4
19,Jay Fiedler,MIA,29,QB,15,15,10-5-0,204,357,57.1,2402,14,3.9,14,3.9,61,6.7,5.7,11.8,160.1,74.5,23,129,5.98,5.06,6.1,2,2
20,Kurt Warner*,STL,29,QB,11,11,8-3-0,235,347,67.7,3429,21,6.1,18,5.2,85,9.9,8.8,14.6,311.7,98.3,20,115,9.03,7.97,5.4,1,2
21,Brian Griese*,DEN,25,QB,10,10,7-3-0,216,336,64.3,2688,19,5.7,4,1.2,61,8.0,8.6,12.4,268.8,102.9,17,139,7.22,7.79,4.8,0,1
22,Chris Chandler,ATL,35,QB,14,13,4-9-0,192,331,58.0,2236,10,3.0,12,3.6,55,6.8,5.7,11.6,159.7,73.5,40,251,5.35,4.43,10.8,1,2
23,Ryan Leaf,SDG,24,QB,11,9,1-8-0,161,322,50.0,1883,11,3.4,18,5.6,83,5.8,4.0,11.7,171.2,56.2,31,155,4.90,3.22,8.8,1,1
24,Rob Johnson,BUF,27,QB,12,11,4-7-0,175,306,57.2,2125,12,3.9,7,2.3,74,6.9,6.7,12.1,177.1,82.2,49,292,5.16,4.95,13.8,2,1
25,Jeff Blake,NOR,30,QB,11,11,7-4-0,184,302,60.9,2025,13,4.3,9,3.0,49,6.7,6.2,11.0,184.1,82.7,24,150,5.75,5.31,7.4,1,1
26,Kordell Stewart,PIT,28,QB,16,11,7-4-0,151,289,52.2,1860,11,3.8,8,2.8,45,6.4,6.0,12.3,116.3,73.6,30,150,5.36,4.92,9.4,1,1
27,Cade McNown,CHI,23,QB,10,9,1-8-0,154,280,55.0,1646,8,2.9,9,3.2,68,5.9,5.0,10.7,164.6,68.5,27,169,4.81,4.01,8.8,0,1
28,Tony Banks,BAL,27,QB,11,8,5-3-0,150,274,54.7,1578,8,2.9,8,2.9,53,5.8,5.0,10.5,143.5,69.3,20,152,4.85,4.17,6.8,1,1
29,Akili Smith,CIN,25,QB,12,11,2-9-0,118,267,44.2,1253,3,1.1,6,2.2,46,4.7,3.9,10.6,104.4,52.8,36,191,3.50,2.81,11.9,,
Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
30,Troy Aikman,DAL,34,QB,11,11,4-7-0,156,262,59.5,1632,7,2.7,14,5.3,48,6.2,4.4,10.5,148.4,64.3,13,91,5.60,3.82,4.7,0,1
31,Trent Green,STL,30,qb,8,5,2-3-0,145,240,60.4,2063,16,6.7,5,2.1,64,8.6,9.0,14.2,257.9,101.8,24,145,7.27,7.63,9.1,0,1
32,Gus Frerotte,DEN,29,qb,10,6,4-2-0,138,232,59.5,1776,9,3.9,8,3.4,44,7.7,6.9,12.9,177.6,82.1,12,77,6.96,6.23,4.9,2,2
33,Doug Flutie,BUF,38,qb,11,5,4-1-0,132,231,57.1,1700,8,3.5,3,1.3,52,7.4,7.5,12.9,154.5,86.5,10,68,6.77,6.88,4.1,1,3
34,Trent Dilfer,BAL,28,QB,11,8,7-1-0,134,226,59.3,1502,12,5.3,11,4.9,59,6.6,5.5,11.2,136.5,76.6,23,135,5.49,4.47,9.2,1,1
35,Tim Couch,CLE,23,qb,7,7,2-5-0,137,215,63.7,1483,7,3.3,9,4.2,79,6.9,5.7,10.8,211.9,77.3,10,78,6.24,5.07,4.4,1,1
36,Doug Pederson,CLE,32,QB,11,8,1-7-0,117,210,55.7,1047,2,1.0,8,3.8,67,5.0,3.5,8.9,95.2,56.6,17,116,4.10,2.69,7.5,,
37,Jim Harbaugh,SDG,37,qb,7,5,0-5-0,123,202,60.9,1416,8,4.0,10,5.0,62,7.0,5.6,11.5,202.3,74.6,14,96,6.11,4.77,6.5,,
38,Aaron Brooks,NOR,24,qb,8,5,3-2-0,113,194,58.2,1514,9,4.6,6,3.1,53,7.8,7.3,13.4,189.3,85.7,15,94,6.79,6.36,7.2,1,2
39,Jeff George,WAS,33,qb,6,5,1-4-0,113,194,58.2,1389,7,3.6,6,3.1,50,7.2,6.5,12.3,231.5,79.6,12,94,6.29,5.66,5.8,,
40,Scott Mitchell,CIN,32,qb,8,5,2-3-0,89,187,47.6,966,3,1.6,8,4.3,38,5.2,3.6,10.9,120.8,50.8,16,82,4.35,2.88,7.9,1,1
41,Shane Matthews,CHI,30,qb,6,5,3-2-0,102,178,57.3,964,3,1.7,6,3.4,41,5.4,4.2,9.5,160.7,64.0,5,24,5.14,3.99,2.7,0,1
42,Kent Graham,PIT,32,qb,12,5,2-3-0,66,148,44.6,878,1,0.7,1,0.7,77,5.9,5.8,13.3,73.2,63.4,13,70,5.02,4.86,8.1,,
43,Randall Cunningham,DAL,37,,6,3,1-2-0,74,125,59.2,849,6,4.8,4,3.2,76,6.8,6.3,11.5,141.5,82.4,8,45,6.05,5.59,6.0,,
44,Danny Kanell,ATL,27,,5,1,0-1-0,57,116,49.1,524,2,1.7,5,4.3,35,4.5,2.9,9.2,104.8,49.6,8,60,3.74,2.25,6.5,,
45,Stoney Case,DET,28,,5,1,1-0-0,56,91,61.5,503,1,1.1,4,4.4,40,5.5,3.8,9.0,100.6,61.7,12,75,4.16,2.60,11.7,,
46,Brock Huard,SEA,24,,5,4,0-4-0,49,87,56.3,540,3,3.4,2,2.3,45,6.2,5.9,11.0,108.0,76.8,13,72,4.68,4.38,13.0,,
47,Jim Miller,CHI,29,,3,2,1-1-0,47,82,57.3,382,1,1.2,1,1.2,34,4.7,4.4,8.1,127.3,68.2,2,7,4.46,4.17,2.4,,
48,Dave Brown,ARI,30,,6,2,0-2-0,40,69,58.0,467,2,2.9,3,4.3,44,6.8,5.4,11.7,77.8,70.1,10,53,5.24,4.04,12.7,,
49,Doug Johnson,ATL,23,,4,2,0-2-0,36,67,53.7,406,2,3.0,3,4.5,26,6.1,4.6,11.3,101.5,63.4,13,75,4.14,2.95,16.3,,
50,Neil O'Donnell,TEN,34,,7,1,1-0-0,36,64,56.3,530,2,3.1,3,4.7,67,8.3,6.8,14.7,75.7,74.3,3,23,7.57,6.15,4.5,2,2
51,Damon Huard,MIA,27,,16,1,1-0-0,39,63,61.9,318,1,1.6,3,4.8,29,5.0,3.2,8.2,19.9,60.2,4,22,4.42,2.70,6.0,1,1
52,Spergon Wynn,CLE,22,,7,1,0-1-0,22,54,40.7,167,0,0.0,1,1.9,32,3.1,2.3,7.6,23.9,41.2,13,89,1.16,0.49,19.4,,
53,Moses Moreno,SDG,25,,6,2,0-2-0,27,53,50.9,241,0,0.0,2,3.8,26,4.5,2.8,8.9,40.2,47.8,8,51,3.11,1.64,13.1,,
54,Anthony Wright,DAL,24,,4,2,0-2-0,22,53,41.5,237,0,0.0,3,5.7,46,4.5,1.9,10.8,59.3,31.7,12,92,2.23,0.15,18.5,,
55,Ray Lucas,NYJ,28,,7,0,,21,41,51.2,206,0,0.0,4,9.8,30,5.0,0.6,9.8,29.4,26.1,6,24,3.87,0.04,12.8,,
56,Warren Moon,KAN,44,,2,1,0-1-0,15,34,44.1,208,1,2.9,1,2.9,41,6.1,5.4,13.9,104.0,61.9,5,46,4.15,3.51,12.8,,
57,Jamie Martin,JAX,30,,5,0,,22,33,66.7,307,2,6.1,1,3.0,65,9.3,9.2,14.0,61.4,104.0,0,0,9.30,9.15,0.0,,
58,Jeff Lewis,CAR,27,,5,0,,16,32,50.0,120,0,0.0,1,3.1,16,3.8,2.3,7.5,24.0,46.4,7,51,1.77,0.62,17.9,,
59,John Friesz,NWE,33,,1,0,,11,21,52.4,66,0,0.0,1,4.8,17,3.1,1.0,6.0,66.0,39.0,3,16,2.08,0.21,12.5,,
Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
60,Bubby Brister,MIN,38,,2,0,,10,20,50.0,82,0,0.0,1,5.0,20,4.1,1.9,8.2,41.0,40.0,1,6,3.62,1.48,4.8,,
61,Rick Mirer,SFO,30,,1,0,,10,20,50.0,126,1,5.0,0,0.0,26,6.3,7.3,12.6,126.0,86.7,1,6,5.71,6.67,4.8,,
62,Matt Hasselbeck,GNB,25,,16,0,,10,19,52.6,104,1,5.3,0,0.0,27,5.5,6.5,10.4,6.5,86.3,1,2,5.10,6.10,5.0,,
63,Chris Greisen,ARI,24,,3,0,,6,10,60.0,65,1,10.0,0,0.0,26,6.5,8.5,10.8,21.7,112.5,3,24,3.15,4.69,23.1,,
64,Michael Bishop,NWE,24,,8,0,,3,9,33.3,80,1,11.1,1,11.1,44,8.9,6.1,26.7,10.0,64.4,0,0,8.89,6.11,0.0,,
65,Alex Van Pelt,BUF,30,,1,0,,4,8,50.0,67,0,0.0,0,0.0,36,8.4,8.4,16.8,67.0,78.6,0,0,8.38,8.38,0.0,0,1
66,Chad Pennington,NYJ,24,,1,0,,2,5,40.0,67,1,20.0,0,0.0,62,13.4,17.4,33.5,67.0,127.1,1,4,10.50,13.83,16.7,,
67,Clint Stoerner,DAL,23,,1,0,,3,5,60.0,53,1,20.0,0,0.0,29,10.6,14.6,17.7,53.0,135.8,2,21,4.57,7.43,28.6,,
68,Brian Mitchell,PHI,32,,16,1,,1,4,25.0,21,0,0.0,0,0.0,21,5.3,5.3,21.0,1.3,49.0,0,0,5.25,5.25,0.0,,
69,Tom Brady,NWE,23,,1,0,,1,3,33.3,6,0,0.0,0,0.0,6,2.0,2.0,6.0,6.0,42.4,0,0,2.00,2.00,0.0,,
70,Kevin Johnson,CLE,24,WR,16,16,,1,3,33.3,23,0,0.0,1,33.3,23,7.7,-7.3,23.0,1.4,22.2,0,0,7.67,-7.33,0.0,,
71,Chris Redman,BAL,23,,2,0,,2,3,66.7,19,0,0.0,0,0.0,12,6.3,6.3,9.5,9.5,84.0,0,0,6.33,6.33,0.0,,
72,Eric Zeier,TAM,28,,3,0,,3,3,100.0,19,0,0.0,0,0.0,14,6.3,6.3,6.3,6.3,93.1,0,0,6.33,6.33,0.0,,
73,Jerome Bettis,PIT,28,RB,16,16,,0,2,0.0,0,0,0.0,1,50.0,0,0.0,-22.5,,0.0,0.0,0,0,0.00,-22.50,0.0,,
74,Bobby Hoying,OAK,28,,4,0,,0,2,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
75,Todd Husak,WAS,22,,1,0,,2,2,100.0,-2,0,0.0,0,0.0,6,-1.0,-1.0,-1.0,-2.0,79.2,0,0,-1.00,-1.00,0.0,,
76,Frank Wycheck*,TEN,29,TE,16,16,,2,2,100.0,53,1,50.0,0,0.0,30,26.5,36.5,26.5,3.3,158.3,0,0,26.50,36.50,0.0,,
77,Louie Aguiar,CHI,34,,9,0,,1,1,100.0,13,0,0.0,0,0.0,13,13.0,13.0,13.0,1.4,118.7,0,0,13.00,13.00,0.0,,
78,Mike Alstott*,TAM,27,FB,13,13,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
79,Mitch Berger,MIN,28,,16,0,,0,1,0.0,0,0,0.0,1,100.0,0,0.0,-45.0,,0.0,0.0,0,0,0.00,-45.00,0.0,,
80,Travis Brown,SEA,23,,1,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
81,Robert Chancey,SDG,28,,4,3,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
82,Koy Detmer,PHI,27,,16,0,,0,1,0.0,0,0,0.0,1,100.0,0,0.0,-45.0,,0.0,0.0,0,0,0.00,-45.00,0.0,,
83,Jeff Feagles,SEA,34,,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
84,Ahman Green,GNB,23,RB,16,11,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
85,Mark Hartsell,CHI,27,,1,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
86,Jarious Jackson,DEN,23,,2,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,1,5,-2.50,-2.50,50.0,,
87,Lee Johnson,NWE,39,,16,0,,1,1,100.0,18,0,0.0,0,0.0,18,18.0,18.0,18.0,1.1,118.7,0,0,18.00,18.00,0.0,,
88,Jermaine Lewis,BAL,26,,15,1,,1,1,100.0,3,0,0.0,0,0.0,3,3.0,3.0,3.0,0.2,79.2,0,0,3.00,3.00,0.0,,
89,Curtis Martin,NYJ,27,RB,16,16,,1,1,100.0,18,1,100.0,0,0.0,18,18.0,38.0,18.0,1.1,158.3,0,0,18.00,38.00,0.0,,
Rk,,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD
90,Chris Mohr,BUF,34,,16,0,,1,1,100.0,44,0,0.0,0,0.0,44,44.0,44.0,44.0,2.8,118.7,0,0,44.00,44.00,0.0,,
91,Sylvester Morris,KAN,23,WR,15,14,,1,1,100.0,31,0,0.0,0,0.0,31,31.0,31.0,31.0,2.1,118.7,0,0,31.00,31.00,0.0,,
92,Tim Rattay,SFO,23,,1,0,,1,1,100.0,-4,0,0.0,0,0.0,-4,-4.0,-4.0,-4.0,-4.0,79.2,0,0,-4.00,-4.00,0.0,,
93,Jerry Rice,SFO,38,WR,16,16,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
94,Mark Royals,TAM,35,,16,0,,1,1,100.0,36,0,0.0,0,0.0,36,36.0,36.0,36.0,2.3,118.7,0,0,36.00,36.00,0.0,,
95,Torrance Small,PHI,30,WR,14,14,,0,1,0.0,0,0,0.0,1,100.0,0,0.0,-45.0,,0.0,0.0,0,0,0.00,-45.00,0.0,,
96,Lamar Smith,MIA,30,RB,15,15,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
97,Kevin Thompson,CLE,23,,1,0,,1,1,100.0,8,0,0.0,0,0.0,8,8.0,8.0,8.0,8.0,100.0,0,0,8.00,8.00,0.0,,
98,Ken Walter,CAR,28,,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0,0,0.00,0.00,0.0,,
99,Ricky Williams,NOR,23,RB,10,10,,1,1,100.0,34,0,0.0,0,0.0,34,34.0,34.0,34.0,3.4,118.7,0,0,34.00,34.00,0.0,,
